,代码,名称,最新价,涨跌幅,接待日期,公告日期,接待机构数量
3,688005,容百科技,62.89,1.19,2021-01-18,2021-01-19,63
0,002324,普利特,19.92,-0.05,2021-01-19,2021-01-20,22
5,300737,科顺股份,24.40,-1.33,2021-01-18,2021-01-19,21
6,300726,宏达电子,76.59,0.00,2021-01-18,2021-01-19,20
7,300031,宝通科技,17.20,0.00,2021-01-19,2021-01-19,19
8,300633,开立医疗,22.16,0.00,2021-01-19,2021-01-19,14
10,300396,迪瑞医疗,24.99,0.12,2021-01-18,2021-01-19,12
12,002649,博彦科技,9.53,-0.52,2021-01-18,2021-01-19,9
13,002612,朗姿股份,24.00,7.72,2021-01-18,2021-01-19,8
14,002920,德赛西威,123.00,1.65,2021-01-18,2021-01-19,8
15,300009,安科生物,14.89,0.20,2021-01-19,2021-01-19,7
16,002436,兴森科技,10.02,-0.20,2021-01-18,2021-01-19,5
17,002650,ST加加,6.09,0.66,2021-01-19,2021-01-19,4
20,002991,甘源食品,84.11,0.00,2021-01-18,2021-01-19,3
19,002533,金杯电工,5.31,,2021-01-19,2021-01-19,3
22,002859,洁美科技,27.50,0.00,2021-01-19,2021-01-19,2
23,000935,四川双马,12.98,0.62,2021-01-18,2021-01-19,2
24,002092,中泰化学,8.41,8.24,2021-01-18,2021-01-19,2
25,300327,中颖电子,36.92,0.90,2021-01-18,2021-01-19,2
26,002362,汉王科技,25.81,-1.11,2021-01-19,2021-01-19,1
27,300243,瑞丰高材,16.33,-1.80,2021-01-18,2021-01-19,1
28,300456,赛微电子,23.65,-0.46,2021-01-18,2021-01-19,1
29,300915,海融科技,78.69,0.91,2021-01-18,2021-01-19,1
52,000032,深桑达A,18.84,1.51,2021-01-18,2021-01-18,1
53,002097,山河智能,8.23,-0.24,2021-01-18,2021-01-18,1
54,002697,红旗连锁,6.40,0.00,2021-01-18,2021-01-18,1
