,代码,名称,主力净流入-净额,大单净流入-净占比,超大单净流入-净占比,涨跌幅,主力净流入-净占比,所属行业,个数
3,2460,赣锋锂业,908199840.0,-2.22,15.7,9.19,13.49,小金属,2
0,2074,国轩高科,274124320.0,0.67,7.85,9.21,8.51,电气设备,2
2,600107,美尔雅,19420772.0,-0.22,7.38,9.21,7.16,服饰,1
1,600089,特变电工,215137664.0,-3.66,7.28,9.18,3.62,电气设备,2
15,300122,智飞生物,626339584.0,5.38,6.82,8.68,12.19,生物制药,2
17,601636,旗滨集团,105072515.0,-0.71,6.26,7.94,5.55,玻璃,1
16,600771,广誉远,30534173.0,-1.09,5.49,8.2,4.4,中成药,1
19,2829,星网宇达,120778920.0,20.65,4.75,7.64,25.4,通信设备,1
6,300630,普利制药,17302840.0,-0.52,4.7,9.07,4.18,化学制药,4
13,2382,蓝帆医疗,15218880.0,-2.1,2.61,7.79,0.51,医疗保健,4
8,300363,博腾股份,-18511142.0,-5.34,2.38,8.12,-2.96,化学制药,4
14,688366,昊海生科,6714717.0,3.06,1.63,8.78,4.69,生物制药,2
5,300909,汇创达,5947938.0,0.71,1.06,9.15,1.77,元器件,1
11,688068,热景生物,3321414.0,1.75,0.98,8.64,2.73,医疗保健,4
12,300318,博晖创新,19183566.0,1.6,0.91,8.09,2.5,医疗保健,4
4,600392,盛和资源,6555296.0,-0.57,0.74,8.06,0.17,小金属,2
7,300759,康龙化成,23786301.0,2.35,-0.35,8.31,2.0,化学制药,4
18,603806,福斯特,-83939950.0,-5.65,-0.42,7.84,-6.07,塑料,1
9,300006,莱美药业,42713538.0,12.31,-0.71,7.82,11.61,化学制药,4
10,300639,凯普生物,6278247.0,2.64,-2.14,8.86,0.51,医疗保健,4
