,代码,名称,主力净流入-净额,大单净流入-净占比,超大单净流入-净占比,涨跌幅,主力净流入-净占比
206,200725,京东方Ｂ,15869997.0,28.24,20.56,5.9,48.8
1349,200045,深纺织Ｂ,439195.0,41.68,0.0,3.83,41.68
355,600172,黄河旋风,8166211.0,34.75,0.36,0.99,35.11
2044,200771,杭汽轮Ｂ,483528.0,33.96,0.0,0.25,33.96
1013,600822,上海物贸,4185337.0,33.82,0.0,0.59,33.82
1470,900920,上柴Ｂ股,68437.0,30.06,0.0,1.94,30.06
1851,600611,大众交通,2273996.0,27.47,0.0,0.27,27.47
307,605218,伟时电子,21553822.0,9.28,15.34,8.43,24.62
283,688233,神工股份,27655164.0,16.56,7.28,7.18,23.84
475,603595,东尼电子,18748171.0,9.08,14.41,8.6,23.49
9,300600,国瑞科技,54853366.0,17.46,5.91,3.19,23.37
3789,000426,兴业矿业,12217253.0,16.0,5.87,2.08,21.87
135,002262,恩华药业,31297551.0,20.63,1.12,4.08,21.75
1668,600713,南京医药,950048.0,21.72,0.0,0.24,21.72
495,300532,今天国际,10840839.0,21.27,0.41,5.34,21.68
90,300449,汉邦高科,18558989.0,-11.21,32.62,0.89,21.41
438,600398,海澜之家,11549730.0,17.05,4.2,3.66,21.25
3002,002459,晶澳科技,86059634.0,9.79,11.3,5.28,21.09
278,300487,蓝晓科技,27329363.0,10.54,10.5,5.02,21.04
750,000008,神州高铁,10949438.0,8.95,11.41,3.44,20.36
954,600617,国新能源,1347639.0,20.23,0.0,-0.25,20.23
765,000628,高新发展,5479377.0,19.51,0.0,2.09,19.51
1714,605128,上海沿浦,2231753.0,10.51,8.75,1.42,19.26
478,300275,梅安森,3719902.0,18.44,0.0,-1.14,18.44
489,002010,传化智联,27602724.0,7.93,10.11,3.42,18.04
471,003016,欣贺股份,9382317.0,14.61,3.34,3.99,17.95
982,002826,易明医药,1298693.0,17.79,0.0,1.47,17.79
452,600299,安迪苏,10950603.0,12.51,5.19,2.33,17.7
1877,300530,达志科技,1979703.0,17.67,0.0,1.72,17.67
1901,000429,粤高速Ａ,807888.0,17.56,0.0,-0.49,17.56
