,代码,名称,主力净流入-净额,大单净流入-净占比,超大单净流入-净占比,涨跌幅,主力净流入-净占比
0,000100,TCL科技,777963872.0,0.0,8.31,7.57,8.31
1,300059,东方财富,643143664.0,0.47,3.76,5.95,4.23
5,600089,特变电工,561295360.0,-1.87,16.62,7.91,14.76
6,000858,五 粮 液,473148528.0,1.85,3.64,4.25,5.5
7,002415,海康威视,418977904.0,-3.93,12.87,4.64,8.93
9,000333,美的集团,372872544.0,3.7,5.45,3.97,9.15
10,601012,隆基股份,371788624.0,-0.68,4.18,5.27,3.5
11,600031,三一重工,369644448.0,-0.96,7.46,4.89,6.5
12,603799,华友钴业,362240992.0,0.84,8.23,7.2,9.07
13,002352,顺丰控股,351726352.0,-0.36,9.95,7.67,9.59
14,002594,比亚迪,334113168.0,-0.05,2.54,6.09,2.5
15,000568,泸州老窖,324709472.0,0.49,6.8,4.28,7.3
16,600621,华鑫股份,315882949.0,-1.83,17.42,6.99,15.6
17,601899,紫金矿业,314266208.0,-1.56,10.36,3.88,8.8
18,300122,智飞生物,313133968.0,-0.28,9.58,6.19,9.3
19,600588,用友网络,277816829.0,1.63,12.62,4.37,14.25
20,002466,天齐锂业,277283472.0,-2.44,6.24,2.92,3.8
21,002030,达安基因,251517808.0,-1.03,8.16,7.55,7.14
22,002340,格林美,241748880.0,-2.4,7.16,6.17,4.76
24,002475,立讯精密,222013280.0,1.9,2.39,3.01,4.29
25,300760,迈瑞医疗,202867872.0,0.28,8.02,2.78,8.3
28,601688,华泰证券,198612064.0,0.61,8.64,0.94,9.25
29,600276,恒瑞医药,197790160.0,2.46,2.36,2.06,4.82
30,600660,福耀玻璃,192958416.0,0.33,7.52,7.36,7.85
31,002555,三七互娱,189914392.0,1.67,5.63,8.14,7.3
34,600570,恒生电子,180849753.0,6.58,2.24,3.23,8.82
35,000807,云铝股份,177887624.0,3.25,11.07,7.68,14.31
36,600010,包钢股份,174771040.0,0.86,8.39,3.33,9.25
38,002240,盛新锂能,168979808.0,-1.66,11.16,7.35,9.49
39,600460,士兰微,164436741.0,3.01,4.15,5.43,7.17
