,代码,名称,主力净流入-净额,大单净流入-净占比,超大单净流入-净占比,涨跌幅,主力净流入-净占比
1,002460,赣锋锂业,468900400.0,-1.78,14.15,4.93,12.37
2,600438,通威股份,378095024.0,-0.92,8.85,6.0,7.93
5,300122,智飞生物,234124304.0,11.3,-2.63,5.25,8.68
6,603799,华友钴业,224402096.0,3.36,3.75,6.15,7.11
7,002797,第一创业,216266833.0,8.41,7.29,3.89,15.7
8,600276,恒瑞医药,208621504.0,0.58,6.88,2.93,7.46
9,300750,宁德时代,206316496.0,-1.01,7.11,1.84,6.1
10,002415,海康威视,194558640.0,-1.06,7.36,5.05,6.3
13,300347,泰格医药,165916171.0,5.38,8.94,5.11,14.32
14,300677,英科医疗,162934896.0,4.11,4.54,3.24,8.65
16,601012,隆基股份,153869760.0,-3.08,5.15,3.33,2.07
17,002074,国轩高科,137506544.0,4.44,4.1,4.73,8.54
19,601888,中国中免,132143872.0,0.15,3.95,2.94,4.09
20,000830,鲁西化工,127479348.0,5.66,6.18,1.65,11.85
21,002202,金风科技,123231167.0,-0.47,7.77,5.47,7.31
23,300015,爱尔眼科,106850064.0,1.6,3.46,5.95,5.05
25,002756,永兴材料,97729571.0,5.8,11.65,1.99,17.45
26,002044,美年健康,95802544.0,8.39,3.87,7.4,12.26
27,300142,沃森生物,95765088.0,3.47,1.84,4.26,5.31
28,300760,迈瑞医疗,94979248.0,5.39,0.97,2.42,6.36
29,300003,乐普医疗,94852075.0,2.48,4.72,3.92,7.2
30,300896,爱美客,94731406.0,7.53,3.79,6.81,11.32
31,002497,雅化集团,88380416.0,0.39,3.96,6.19,4.35
33,002179,中航光电,86874053.0,3.69,7.46,0.79,11.15
34,003032,传智教育,84204831.0,13.96,23.11,-9.99,37.07
36,002008,大族激光,81869964.0,-0.14,6.36,1.06,6.22
37,002709,天赐材料,80388072.0,0.17,7.35,3.76,7.52
38,300083,创世纪,77263617.0,8.25,2.05,3.25,10.29
39,000538,云南白药,77185560.0,7.55,1.87,1.65,9.43
40,000100,TCL科技,77074992.0,0.41,1.5,0.82,1.9
